symbol,gene_id,treatment_splicing_P,time_splicing_P,treatment_over_time_splicing_P,flag_treatment_splicing_P05,flag_time_splicing_P05,flag_trt_over_time_splicing_P05
Dsim\GD11428,FBgn0183177,0.95081529115342,0.02017323391287,0.02192638841064,0,1,1
Dsim\GD11429,FBgn0183178,0.09505766246487,0.38469088742407,0.01306978555973,0,0,1
Dsim\GD11430,FBgn0183179,0.84931029446761,0.06020717176775,0.30167646685349,0,0,0
Dsim\GD11431,FBgn0183180,0.67375221684802,0.53747239551342,0.82991759889515,0,0,0
Dsim\GD11432,FBgn0183181,0.54292287244436,0.56750373695003,0.34757855309843,0,0,0
Dsim\GD11434,FBgn0183183,0.16914609087578,0.49811860391254,0.84649115884082,0,0,0
Dsim\GD11435,FBgn0183184,,,,0,0,0
Dsim\GD11436,FBgn0183185,0.99897525729562,0.84510201050369,0.58594974883696,0,0,0
Dsim\GD11437,FBgn0183186,0.43371404451647,0.71060613397193,0.00142352861728,0,0,1
Dsim\GD11442,FBgn0183191,0.15189628867922,0.34996261915924,0.68547342025985,0,0,0
Dsim\GD11443,FBgn0183192,0.72665710391603,0.93905196047324,0.53641296438952,0,0,0
Dsim\GD11444,FBgn0183193,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD11445,FBgn0183194,,,,0,0,0
Dsim\GD11446,FBgn0183195,0.50105085178106,0.38951504595119,0.500300920714,0,0,0
Dsim\GD11447,FBgn0183196,0.77848792310885,0.61315495881533,0.02898350260389,0,0,1
Dsim\GD11449,FBgn0183198,0.88165793121515,0.15467560900209,0.01424530748511,0,0,1
Dsim\GD11452,FBgn0183201,,,,0,0,0
Dsim\GD11453,FBgn0183202,0.35147573793121,0.65704235302895,0.88272408269585,0,0,0
Dsim\GD11454,FBgn0183203,0.6069179998278,0.99755657846821,0.02633954499047,0,0,1
Dsim\GD11455,FBgn0183204,0.26820095980267,0.9920711894814,0.89217640568863,0,0,0
Dsim\GD11456,FBgn0183205,0.00205348737969,0.11740287815258,0.90670685948063,1,0,0
Dsim\GD11457,FBgn0183206,0.22972042891222,0.0178905589194,0.5069286863762,0,1,0
Dsim\GD11458,FBgn0183207,0.81141697872568,0.83969875558293,0.68101889607348,0,0,0
Dsim\GD11459,FBgn0183208,0.08500320924406,0.04745877872582,0.04745877872582,0,1,1
Dsim\GD11461,FBgn0183210,0.26592192280229,0.3390037049193,0.01718548973659,0,0,1
Dsim\GD11462,FBgn0183211,0.00671224515085,0.00009224914777,0.08822931457816,1,1,0
Dsim\GD11463,FBgn0183212,,,,0,0,0
Dsim\GD11467,FBgn0183216,0.90579220238984,0.20588576243877,0.50642865198395,0,0,0
Dsim\GD11469,FBgn0183218,0.01370955078472,0.23498530275076,0.01382584720843,1,0,1
Dsim\GD11475,FBgn0183224,0.0280886917576,0.13601286490611,0.25651709955201,1,0,0
Dsim\Obp56a,FBgn0183226,0.68990349518967,0.86728834200752,0.88960735666193,0,0,0
Dsim\Obp56e,FBgn0183227,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\Obp56f,FBgn0183228,,,,0,0,0
Dsim\Obp56h,FBgn0183230,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD11488,FBgn0183236,0.96570413393768,0.78792959542385,0.89393756359443,0,0,0
Dsim\GD11492,FBgn0183239,0.56376995033152,0.26231075264956,0.99067736254131,0,0,0
Dsim\GD11494,FBgn0183241,0.83326002765147,0.85011760922062,0.02026373275579,0,0,1
Dsim\GD11509,FBgn0183250,0.14395297426091,0.07850434159111,0.02702327176346,0,0,1
Dsim\GD11510,FBgn0183251,0.76727386789159,0.94703732091548,0.98934389703066,0,0,0
Dsim\GD11511,FBgn0183252,0.76147095915218,0.11497146737928,0.82198293098617,0,0,0
Dsim\GD11512,FBgn0183253,0.83028410462469,0.3050922611601,0.55232431870991,0,0,0
Dsim\GD11514,FBgn0183255,0.44027130150018,0.89129219541197,0.34277667896704,0,0,0
Dsim\Obp57c,FBgn0183257,0.36371800854169,0.0176764441369,0.00259265505269,0,1,1
Dsim\Obp57b,FBgn0183258,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\Obp57a,FBgn0183259,0.92133189569855,0.00191521026932,0.01618972124682,0,1,1
Dsim\GD11519,FBgn0183260,,,,0,0,0
Dsim\GD11520,FBgn0183261,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\GD11521,FBgn0183262,,,,0,0,0
